Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,death_category
Cayman Islands,2022-04-25,316565.292,392.887,49903.029,High,200 - 1999 Dead
Central African Republic,2022-04-25,2572.794,20.254,661.24,Lowest,Under 200 Dead
Chad,2022-04-25,417.303,10.89,1768.153,Lowest,Under 200 Dead
Chile,2022-04-25,180805.485,2926.738,22767.037,Average,200 - 1999 Dead
China,2022-04-25,713.353,10.436,15308.712,Low,Under 200 Dead
Colombia,2022-04-25,117415.27,2694.316,13254.949,Low,200 - 1999 Dead
Comoros,2022-04-25,9685.904,191.208,1413.89,Lowest,Under 200 Dead
Congo,2022-04-25,4024.668,64.484,4881.406,Lowest,Under 200 Dead
Cook Islands,2022-04-25,277536.402,58.713,NA,NA,Under 200 Dead
Costa Rica,2022-04-25,163638.455,1618.079,15524.995,Low,200 - 1999 Dead
Cote d'Ivoire,2022-04-25,2907.862,28.373,3601.006,Lowest,Under 200 Dead
Croatia,2022-04-25,277189.81,3914.786,22669.797,Average,3000+ Dead
Cuba,2022-04-25,98239.97,760.154,NA,NA,200 - 1999 Dead
Curacao,2022-04-25,218278.732,1417.564,NA,NA,200 - 1999 Dead
Cyprus,2022-04-25,524905.497,1122.759,32415.132,Average,200 - 1999 Dead
Czechia,2022-04-25,397445.681,3830.097,32605.906,Average,3000+ Dead
Democratic Republic of Congo,2022-04-25,880.222,13.504,808.133,Lowest,Under 200 Dead
Denmark,2022-04-25,528540.821,1032.256,46682.515,High,200 - 1999 Dead
Djibouti,2022-04-25,13927.81,168.622,2705.406,Lowest,Under 200 Dead
Dominica,2022-04-25,165383.875,865.884,9673.367,Lowest,200 - 1999 Dead
Dominican Republic,2022-04-25,51570.775,389.711,14600.861,Low,200 - 1999 Dead
Ecuador,2022-04-25,48222.482,1976.612,10581.936,Low,200 - 1999 Dead
Egypt,2022-04-25,4626.251,221.695,10550.206,Low,200 - 1999 Dead
El Salvador,2022-04-25,25580.642,651.317,7292.458,Lowest,200 - 1999 Dead
Eritrea,2022-04-25,2642.207,27.958,1510.459,Lowest,Under 200 Dead
Estonia,2022-04-25,418801.807,1821.179,29481.252,Average,200 - 1999 Dead
Eswatini,2022-04-25,58488.117,1162.539,7738.975,Lowest,200 - 1999 Dead
